Target,Clues
guam,oceania micronesia hag
guatemala,americas central america guatemala city
guernsey,europe northern europe st peter port
guinea,africa western africa conakry
guinea bissau,africa western africa bissau
guyana,america south america georgetown
haiti,americas caribbean port au prince
heard island mcdonald island,
holy see,europe southern europe rome
honduras,americas central america tegucigalpa
hong kong,asia eastern asia city victoria
hungary,europe eastern europe budapest
iceland,europe northern europe reykjav k
india,asia southern asia new delhi
indonesia,asia south eastern asia jakarta
c te ivoire,africa western africa yamoussoukro
iran islamic republic,asia southern asia tehran
iraq,asia western asia baghdad
ireland,europe northern europe dublin
isle man,europe northern europe douglas
israel,asia western asia jerusalem
italy,europe southern europe rome
jamaica,americas caribbean kingston
japan,asia eastern asia tokyo
jersey,europe northern europe saint helier
jordan,asia western asia amman
kazakhstan,asia central asia astana
kenya,africa eastern africa nairobi
kiribati,oceania micronesia south tarawa
kuwait,asia western asia kuwait city
kyrgyzstan,asia central asia bishkek
lao people democratic republic,asia south eastern asia vientiane
latvia,europe northern europe riga
lebanon,asia western asia beirut
lesotho,africa southern africa maseru
liberia,africa western africa monrovia
libya,africa northern africa tripoli
liechtenstein,europe western europe vaduz
lithuania,europe northern europe vilnius
luxembourg,europe western europe luxembourg
macao,asia eastern asia
macedonia former yugoslav republic,europe southern europe skopje
madagascar,africa eastern africa antananarivo
malawi,africa eastern africa lilongwe
malaysia,asia south eastern asia kuala lumpur
maldives,asia southern asia mal
mali,africa western africa bamako
malta,europe southern europe valletta
marshall island,oceania micronesia majuro
martinique,americas caribbean fort de france
mauritania,africa western africa nouakchott
mauritius,africa eastern africa port louis
mayotte,africa eastern africa mamoudzou
mexico,americas central america mexico city
micronesia federate state,oceania micronesia palikir
moldova republic,europe eastern europe chi u
monaco,europe western europe monaco
mongolia,asia eastern asia ulan bator
montenegro,europe southern europe podgorica
montserrat,americas caribbean plymouth
morocco,africa northern africa rabat
mozambique,africa eastern africa maputo
myanmar,asia south eastern asia naypyidaw
namibia,africa southern africa windhoek
nauru,oceania micronesia yaren
nepal,asia southern asia kathmandu
netherlands,europe western europe amsterdam
new caledonia,oceania melanesia noum
new zealand,oceania australia new zealand wellington
nicaragua,americas central america managua
niger,africa western africa niamey
nigeria,africa western africa abuja
niue,oceania polynesia alofi
norfolk island,oceania australia new zealand kingston
korea democratic people republic,asia eastern asia pyongyang
northern mariana island,oceania micronesia saipan
norway,europe northern europe oslo
oman,asia western asia muscat
pakistan,asia southern asia islamabad
palau,oceania micronesia ngerulmud
palestine state,asia western asia ramallah
panama,americas central america panama city
papua new guinea,oceania melanesia port moresby
paraguay,america south america asunci n
peru,america south america lima
philippine,asia south eastern asia manila
pitcairn,oceania polynesia adamstown
poland,europe eastern europe warsaw
portugal,europe southern europe lisbon
puerto rico,americas caribbean san juan
qatar,asia western asia doha
republic kosovo,europe eastern europe pristina
r union,africa eastern africa saint denis
romania,europe eastern europe bucharest
russian federation,europe eastern europe moscow
rwanda,africa eastern africa kigali
saint barth lemy,americas caribbean gustavia
saint helena ascension tristan da cunha,africa western africa jamestown
saint kitts nevis,americas caribbean basseterre
saint lucia,americas caribbean castries
saint martin french part,americas caribbean marigot
saint pierre miquelon,america northern america saint pierre
saint vincent grenadine,americas caribbean kingstown
samoa,oceania polynesia apia
san marino,europe southern europe city san marino
sao tome principe,africa middle africa tom
saudi arabia,asia western asia riyadh
senegal,africa western africa dakar
serbia,europe southern europe belgrade
seychelles,africa eastern africa victoria
sierra leone,africa western africa freetown
singapore,asia south eastern asia singapore
sint maarten dutch part,americas caribbean philipsburg
slovakia,europe eastern europe bratislava
slovenia,europe southern europe ljubljana
solomon island,oceania melanesia honiara
somalia,africa eastern africa mogadishu
south africa,africa southern africa pretoria
south georgia south sandwich island,america south america king edward point
korea republic,asia eastern asia seoul
south sudan,africa middle africa juba
spain,europe southern europe madrid
sri lanka,asia southern asia colombo
sudan,africa northern africa khartoum
suriname,america south america paramaribo
svalbard jan mayen,europe northern europe longyearbyen
swaziland,africa southern africa lobamba
sweden,europe northern europe stockholm
switzerland,europe western europe bern
syrian arab republic,asia western asia damascus
taiwan,asia eastern asia taipei
tajikistan,asia central asia dushanbe
tanzania unite republic,africa eastern africa dodoma
thailand,asia south eastern asia bangkok
timor leste,asia south eastern asia dili
togo,africa western africa lom
tokelau,oceania polynesia fakaofo
tonga,oceania polynesia nuku alofa
trinidad tobago,americas caribbean port spain
tunisia,africa northern africa tunis
turkey,asia western asia ankara
turkmenistan,asia central asia ashgabat
turk caicos island,americas caribbean cockburn town
tuvalu,oceania polynesia funafuti
uganda,africa eastern africa kampala
ukraine,europe eastern europe kiev chernobyl
united arab emirate,asia western asia abu dhabi
united kingdom great britain northern ireland,europe northern europe london wale scotland
united state america,america northern america washington c new york los angeles
uruguay,america south america montevideo
uzbekistan,asia central asia tashkent
vanuatu,oceania melanesia port vila
venezuela bolivarian republic,america south america caracas
viet nam,asia south eastern asia hanoi
wallis futuna,oceania polynesia mata utu
western sahara,africa northern africa el aai n
yemen,asia western asia sana
zambia,africa eastern africa lusaka
zimbabwe,africa eastern africa harare
kabul afghanistan,asia
mariehamn land island,europe
tirana albania,europe
algiers algeria,africa
pago pago american samoa,oceania
andorra la vella andorra,europe
luanda angola,africa
valley anguilla,america
saint john antigua barbuda,america
buenos aire argentina,america
yerevan armenia,asia
oranjestad aruba,america
canberra australia,oceania
vienna austria,europe
baku azerbaijan,asia
nassau bahamas,america
manama bahrain,asia
dhaka bangladesh,asia
bridgetown barbados,america
minsk belarus,europe
brussels belgium,europe
belmopan belize,america
porto novo benin,africa
hamilton bermuda,america
thimphu bhutan,asia
sucre bolivia plurinational state,america
kralendijk bonaire sint eustatius saba,america
sarajevo bosnia herzegovina,europe
gaborone botswana,africa
bra lia brazil,america
diego garcia british indian ocean territory,africa
road town virgin island british,america
charlotte amalie virgin island u,america
bandar seri begawan brunei darussalam,asia
sofia bulgaria,europe
ouagadougou burkina faso,africa
bujumbura burundi,africa
phnom penh cambodia,asia
yaound cameroon,africa
ottawa canada,america
praia cabo verde,africa
george town cayman island,america
bangui central african republic,africa
n djamena chad,africa
santiago chile,america
beijing china,asia
fly fish cove christmas island,oceania
west island coco keel island,oceania
bogot colombia,america
moroni comoros,africa
brazzaville congo,africa
kinshasa congo democratic republic,africa
avarua cook island,oceania
san jos costa rica,america
zagreb croatia,europe
havana cuba,america
willemstad cura ao,america
nicosia cyprus,europe
prague czech republic,europe
copenhagen denmark,europe
djibouti djibouti,africa
roseau dominica,america
santo domingo dominican republic,america
quito ecuador,america
cairo egypt,africa
san salvador el salvador,america
malabo equatorial guinea,africa
asmara eritrea,africa
tallinn estonia,europe
addis ababa ethiopia,africa
stanley falkland islands malvinas,america
rshavn faroe island,europe
suva fiji,oceania
helsinki finland,europe
paris france,europe
cayenne french guiana,america
papeet french polynesia,oceania
port aux fran ais french southern territory,africa
libreville gabon,africa
banjul gambia,africa
tbilisi georgia,asia
berlin germany,europe
accra ghana,africa
gibraltar gibraltar,europe
athens greece,europe
nuuk greenland,america
st george grenada,america
basse terre guadeloupe,america
hag guam,oceania
guatemala city guatemala,america
st peter port guernsey,europe
conakry guinea,africa
bissau guinea bissau,africa
georgetown guyana,america
port au prince haiti,america
rome holy see,europe
tegucigalpa honduras,america
city victoria hong kong,asia
budapest hungary,europe
reykjav k iceland,europe
new delhi india,asia
jakarta indonesia,asia
yamoussoukro c te ivoire,africa
tehran iran islamic republic,asia
baghdad iraq,asia
dublin ireland,europe
douglas isle man,europe
jerusalem israel,asia
rome italy,europe
kingston jamaica,america
tokyo japan,asia
saint helier jersey,europe
amman jordan,asia
astana kazakhstan,asia
nairobi kenya,africa
south tarawa kiribati,oceania
kuwait city kuwait,asia
bishkek kyrgyzstan,asia
vientiane lao people democratic republic,asia
riga latvia,europe
beirut lebanon,asia
maseru lesotho,africa
monrovia liberia,africa
tripoli libya,africa
vaduz liechtenstein,europe
vilnius lithuania,europe
luxembourg luxembourg,europe
skopje macedonia former yugoslav republic,europe
antananarivo madagascar,africa
lilongwe malawi,africa
kuala lumpur malaysia,asia
mal maldives,asia
bamako mali,africa
valletta malta,europe
majuro marshall island,oceania
fort de france martinique,america
nouakchott mauritania,africa
port louis mauritius,africa
mamoudzou mayotte,africa
mexico city mexico,america
palikir micronesia federate state,oceania
chi u moldova republic,europe
monaco monaco,europe
ulan bator mongolia,asia
podgorica montenegro,europe
plymouth montserrat,america
rabat morocco,africa
maputo mozambique,africa
naypyidaw myanmar,asia
windhoek namibia,africa
yaren nauru,oceania
kathmandu nepal,asia
amsterdam netherlands,europe
noum new caledonia,oceania
wellington new zealand,oceania
managua nicaragua,america
niamey niger,africa
abuja nigeria,africa
alofi niue,oceania
kingston norfolk island,oceania
pyongyang korea democratic people republic,asia
saipan northern mariana island,oceania
oslo norway,europe
muscat oman,asia
islamabad pakistan,asia
ngerulmud palau,oceania
ramallah palestine state,asia
panama city panama,america
port moresby papua new guinea,oceania
asunci n paraguay,america
lima peru,america
manila philippine,asia
adamstown pitcairn,oceania
warsaw poland,europe
lisbon portugal,europe
san juan puerto rico,america
doha qatar,asia
pristina republic kosovo,europe
saint denis r union,africa
bucharest romania,europe
moscow russian federation,europe
kigali rwanda,africa
gustavia saint barth lemy,america
jamestown saint helena ascension tristan da cunha,africa
basseterre saint kitts nevis,america
castries saint lucia,america
marigot saint martin french part,america
saint pierre saint pierre miquelon,america
kingstown saint vincent grenadine,america
apia samoa,oceania
city san marino san marino,europe
tom sao tome principe,africa
riyadh saudi arabia,asia
dakar senegal,africa
belgrade serbia,europe
victoria seychelles,africa
freetown sierra leone,africa
singapore singapore,asia
philipsburg sint maarten dutch part,america
bratislava slovakia,europe
ljubljana slovenia,europe
honiara solomon island,oceania
mogadishu somalia,africa
pretoria south africa,africa
king edward point south georgia south sandwich island,america
seoul korea republic,asia
juba south sudan,africa
madrid spain,europe
colombo sri lanka,asia
khartoum sudan,africa
paramaribo suriname,america
longyearbyen svalbard jan mayen,europe
lobamba swaziland,africa
stockholm sweden,europe
bern switzerland,europe
damascus syrian arab republic,asia
taipei taiwan,asia
dushanbe tajikistan,asia
dodoma tanzania unite republic,africa
bangkok thailand,asia
dili timor leste,asia
lom togo,africa
fakaofo tokelau,oceania
nuku alofa tonga,oceania
port spain trinidad tobago,america
tunis tunisia,africa
ankara turkey,asia
ashgabat turkmenistan,asia
cockburn town turk caicos island,america
funafuti tuvalu,oceania
kampala uganda,africa
kiev ukraine,europe
abu dhabi united arab emirate,asia
london united kingdom great britain northern ireland,europe
washington c united state america,america
montevideo uruguay,america
tashkent uzbekistan,asia
port vila vanuatu,oceania
caracas venezuela bolivarian republic,america
hanoi viet nam,asia
mata utu wallis futuna,oceania
el aai n western sahara,africa
sana yemen,asia
lusaka zambia,africa
harare zimbabwe,africa
applesauce,fruit tree glass preserving
beef patty,pork ground steak
beef steak,meat cow bone tenderloin
beer ham,sausage alcohol
beer,drink bottle toast
big mac,mcdonalds hamburger pattie salad
bratwurst,currywurst th ringer barbecue
brown bread,toast dark baking
budweiser beer,brew purity law drink czech republic
burger king,mcdonalds hamburger fry fast food
butter,magarine fat roast bread
camembert,cheese white cranberry
carlsberg beer,brew purity drink green
chicken breast fillet,meat fine egg
chocolate,cocoa nutella ritter sport
ciabatta,bread bake italy
cocktail sauce,barbecue steak
cola,drink fanta sprite brown coca
cornflakes,breakfast milk kellogs cereal
corona beer,brew purity drink tequila
cream cake,cake butter milk sweet wedding
cream cheese,butter yogurt spread bread
cream pudding,sweet dessert
cream,butter milk cake sundae
crispbread,dry hard bread bake
croissant,breakfast bent bake sweet jam
croquette,potato fry wedge
cr fraiche,potato cream cook salad
currywurst,barbecue berlin th ringer
donut,round sweet glaze coffee
dry fruit,wet vegetable apple banana
duck,pond christmas drake goose
dunkin donut,coffee round sweet glaze
ner kebab,rum falafel salad
r,kebab falafel batter salad
egg,chicken round white mirror pan
falafel,kebab salad
fish stick,iglo captain sea
french fry,mcdonalds potato pommes
fry potato,potato skillet bacon
frikadelle,boulette meatball meat
frozen pizza,freeze ice italy salami
frozen vegetable,freeze fruit ice cream
fruit juice,drink apple orange tree
fruit,vegetable apple banana strawberry
fruitcake,bake apple plum granny vegetable
goose,duck christmas turkey
gouda,cheese emmental damer
green salad,ceasar tomato cucumber
ground beef,shredder cow milk boulette
half fat butter,magarine whole spread bread
ham cheese croissant,sausage breakfast paris france
hamburger,mcdonalds burger king bread pattie salad
heineken beer,brew purity drink
herb curd,potato garden parsley
herring fillet,fish sea fishing fine
hollandaise sauce,cutlet asparagus holland netherlands
honey,bee beekeeper sweet breakfast bear
hot dog,bread sausage ikea usa
ice cream,summer cold frozen chocolate vanilla cup
jack daniel whisky,drink black
jello,green woodruff tremble sweet dessert
johnnie walker whisky,drink usa go
kfc,chicken wing fat usa bucket
lemonade,drink cola fanta sprite
licorice,sweet black snacking
liqueur,drink liquor
liver sausage,spread bread meat
mackerel,fish sea fishing
margarine,butter spread bread
marmalade,breakfast spread bread strawberry
marzipan,cake sweet decoration white
mascarpone,tiramisu sweet heavy italy
mayonnaise,ketchup sausage fry white
mcdonalds,burger king hamburger fry yellow bow
milk,cow white drink cereal breakfast lactose
mince meat,boulette beef pork
mousse,chocolate airy brown foam
mozzarella,pizza tomato italy cheese
muesli,breakfast cornflakes milk bowl
non alcoholic beer,girl drink
nut nougat cream,nutella chocolate breakfast
nutella,nut nougat cream chocolate breakfast spread
nut,macadamia fruit bowl trail mix
olive,oil green black bitter
orange,tangerine fruit christmas
pancake,bake sweet jam dessert pie
pasta,spaghetti pasta tomato sauce italy
pesto,pasta spaghetti herbs paste
pizza hut,usa kfc fast food red italy
pollock,fish sea fishing
popcorn,corn movie theater salt butter sugar snack
pork chop,meat steak bone cow beef
pork cutlet,meat steak bone cow beef breading fry
potato chip,salty nibble chio
potato dumpling dough,roast red cabbage boil
potato salad,potato mayonnaise
potato,earth apple brown cook fry
pudding,chocolate vanilla sweet dessert
puff pastry,paper sweet cake baking
rice cracker,white air snack break
rice,asia china white grain chopstick
roast chicken,broiler oven chicken wing skin
rollmops,fish bread herring
roll,schrippe semmel bake baker
salad dress,tomato herb ceasar yogurt
salami,sausage pork mince top
salmon,fish sea fishing tuna fish
saltine,brown pretzel nibble
semolina pudding,dessert sweet cherry rice pudding
shrimp,sea fruit sushi
soup,liquid water herb broth
sour cream,sweet salty butter milk
sparkle wine,drink carbonate toast new year eve
speisequark,potato herbs yogurt cream
sponge cake,bake granny stick
sp tzle,noodle dough austria
starbucks,coffee expensive cup green usa hipster
steak,meat cutlet fry bone filet
subway,sandwich salad meat usa fast food cooky cooky
sunflower oil,canola olive oil fry cooking butter
sushi,fish seaweed rice asia china japan
tiramisu,mascarpone coffee biscuit cake italy
toast hawaii,pineapple ham bread usa state
toast,bread bake white light
tomato sauce,pasta spaghetti red bolognese
trout,fish sea fishing
vegetable,fruit salad tomato
whiskey,drink spirit scotland brown
white bread,toast light dark black
wiener,hot dog bread austria
wine,drink red white adult
yogurt,sweet dessert
,george orwell
doll house,henrik ibsen
absalom absalom,william faulkner
anna karenina,leo tolstoy
beloved beloved trilogy,toni morrison
berlin alexanderplatz,alfred blin
blindness,jos saramago
buddenbrooks decline family,thomas mann
crime punishment,fyodor dostoyevsky
dead soul,nikolai gogol
demon,fyodor dostoyevsky
diary madman story,lu xun
quixote,miguel de cervantes saavedra
faust first part,johann wolfgang von goethe
ficciones,jorge luis borges
gargantua pantagruel,fran ois rabelais
grande sert veredas,jo guimar e rosa
great expectation,charles dickens
gulliver travel,jonathan swift
hamlet,william shakespeare
history la storia,elsa morante
hunger,knut hamsun
independent people,halld r laxness
invisible man,ralph ellison
jacques fatalist,denis diderot
journey end night,louis ferdinand c line
king lear,william shakespeare
leaf grass,walt whitman
lolita,vladimir nabokov
love time cholera,gabriel garc rquez
madame bovary,gustave flaubert
mahabharata,anonymous
medea,euripides
memoir hadrian,marguerite yourcenar
metamorphosis,ovid
middlemarch,george eliot
midnight child,salman rushdie
moby dick whale,herman melville
molloy malone die unnamable,samuel beckett
mr dalloway,virginia woolf
njal saga,unknown
nostromo,joseph conrad
oedipus rex theban play,sophocles
one hundred year solitude,gabriel garc rquez
othello,william shakespeare
pedro p ramo,juan rulfo
pippi longstocking,astrid lindgren
poem paul celan,paul celan
pride prejudice,jane austen
p goriot,honor de balzac
ramayana,v lm ki
romancero gitano,federico garc lorca
season migration north,tayeb salih
select story anton chekhov,anton chekhov
sentimental education,gustave flaubert
son lover,h lawrence
swann way,marcel prous
adventure huckleberry finn,mark twain
aeneid,virgil
arabian night,anonymous
book disquiet,fernando pessoa
book job,anonymous
brother karamazov,fyodor dostoyevsky
canterbury tale,geoffrey chaucer
castle,franz kafka
collect tale edgar allan poe,edgar allan poe
complete essay,michel de montaigne
complete fairy tale,han christian andersen
complete story,franz kafka
death ivan ilych,leo tolstoy
decameron,giovanni boccaccio
divine comedy,dante alighieri
epic gilgamesh,anonymous
golden notebook,doris lessing
idiot,fyodor dostoyevsky
iliad,homer
life opinion tristram shandy gentleman,laurence sterne
magic mountain,thomas mann
man without quality,robert musil
odyssey,homer
old man sea,ernest hemingway
orchard bostan saadi shiraz,saadi
poem leopardi,giacomo leopardi
recognition akuntal,k lid sa
red black,stendhal
sound fury,william faulkner
sound mountain,yasunari kawabata
stranger,albert camus
tale genji,murasaki shikibu
tin drum,g nter grass
trial,franz kafka
thing fall apart african trilogy,chinua achebe
lighthouse,virginia woolf
ulysses,james joyce
war peace,leo tolstoy
wuthering height,emily bront
zeno conscience,italo svevo
zorba greek,nikos kazantzakis
cent,dollar half rap hip hop usa
abigail breslin,zombieland actress hollywood usa
abraham lincoln,president usa murder
adam sandler,jack jill little nicky actor hollywood usa comedy
adolf hitler,world war stalin jew holocaust germany
al capone,gangster chicago mafia italy
al pacino,godfather scarface actor hollywood usa
alan rickman,harry potter snape actor hollywood usa
albert einstein,theory relativity physicist scientist germany haare
alec baldwin,actor hollywood usa
alexander graham bell,inventor usa entrepreneur telephone
alfred hitchcock,author director thriller psycho vertigo
alison brie,bojack horseman mad men actress hollywood usa
amanda seyfried,le mis rables big wedding actress hollywood usa
amy adam,american hustle arrival actress hollywood usa
andie macdowell,footloose actress hollywood usa
andy warhol,artist producer movie pop art illustration dead
angela merkel,germany federal chancellor european union cdu csu government rue
anne hathaway,le mis rables interstellar actress hollywood usa
anthony hopkins,silence lamb hannibal lecter actor hollywood usa
anthony quinn,alexis sorbas actor hollywood mexiko
arnold schwarzenegger,actor hollywood usa terminator back
audrey hepburn,breakfast tiffany fair lady actress hollywood usa
barbara streisand,woman love funny girl singerin actress hollywood usa
ben kingsley,schindlers list shutter island actor hollywood usa
ben stiller,night museum actor hollywood usa comedy
benedict cumberbatch,doctor strange avenger sherlock holmes actor hollywood usa
benicio del toro,che usual suspect fear loathe la vega actor hollywood
benjamin franklin,inventor book print kite electricity usa independence
bill gate,window microsoft computer pc software
bill murray,lose translation ghost buster actor hollywood usa
blake lively,gossip girl actress hollywood usa
bob dylan,singer song harmonica folk rock
bob marley,three little bird reggae chill joint jamaica
bono,singer u rock england
brad pitt,fight club monkey interview vampire actor hollywood angelina jolie
bradley cooper,silver lining american hustle american sniper actor hollywood usa
bruce lee,china kung fu jackie chan karate
buzz aldrin,astronaut nasa usa big bang thory
catherine zeta jones,chicago ocean actress hollywood usa
channing tatum,actor hollywood usa
charles darwin,naturalist geologist biologist science evolution
